id,name,start_date,end_date,set_type
1,レギュラー2024下期,2024/10/10,2025/4/21,レギュラー
2,1_20250206,2025/2/6,2025/3/22,2weekly
3,イ_20250220,2025/2/20,2025/3/30,2weekly
4,A_20250306,2025/3/6,2025/4/6,2weekly
5,1_20250324,2025/3/24,2025/4/13,2weekly
6,イ_20250403,2025/4/3,2025/4/20,2weekly
7,レギュラー2025上期,2025/4/26,2026/10/20,レギュラー
8,1_20250616,2025/6/16,2025/7/28,2weekly
9,A_20250630,2025/6/30,2025/8/12,2weekly
10,イ_20250714,2025/7/14,2025/8/25,2weekly
11,1_20250728,2025/7/28,2025/9/8,2weekly
12,A_20250812,2025/8/12,2025/9/22,2weekly
13,い_20250825,2025/8/25,2025/10/6,2weekly
14,1_20250908,2025/9/8,2025/10/20,2weekly
15,A_20250922,2025/9/22,2025/11/3,2weekly
16,い_20251006,2025/10/6,2025/11/17,2weekly
17,1_20251020,2025/10/20,2025/11/30,2weekly
18,A_20251104,2025/11/4,2025/12/31,2weekly
19,い_20251117,2025/11/17,2025/12/31,2weekly
